name,rate,reviews
소울,4,너무 졸렸어요..기대가 컸나봐요 인사이드아웃이나 코코는 전달하고자 하는 바가 명확하고 여운이 오랫동안 남는데... 소울은 크게 와닫지 않아요.. 보통 디즈니나 픽사영화는 n차 관람을 하는데 소울은 보고 또 보고싶다는 생각이 안들어요
아무도 없는 곳,6,"긍정적일수가 없는, 감성적임을 강조하더라도 설명은 바로하자"
분노의 질주,2,스토리도 좀 별로고 자동차 액션도 크게 와닿지 않는다
간츠 - 퍼펙트 앤서,7,원작이 얼마나 훌륭한지 보고싶다...
프레셔스,10,진짜 천성이란게 있는듯.. 저런 환경에서 자라도 저렇게 올바를수가 있구나 프레셔스 멋있다 모든 프레셔스들이 이걸보고 희망적이었으면 좋겠음
미나리,2,내가 뭘 본거지.. 진심 실망했다...
디센트,10,동굴의 괴물들에게 들키지않으려고 발악하는 사람들.. 콰이어트플레이스는 이거였다
초인,10,일어서게 하는 영화네요
아수라,10,이정도로 까일 작품은 아님
더 파이브,2,사이다 몇박스 사가지고 봐야하는 영화.  고구마로 시작해 고구마로 끝남
자산어보,10,울림이 있는 영화!! 보시면 절대 후회하지 않습니다. 강추
해리 포터와 마법사의 돌,10,말해뭐해 해리포터 진짜..개쩐다 진짜 ㅇㅠㅏ 스넹프 미친
아수라도,1,"연기력, 스토리, 연출 전부 에로영화 수준."
내일의 기억,10,서예지가 다 망쳐놓은 영화..김강우가 살렸다...ㅜㅜ
킹덤,2,주인공이 죽기 바란적응 첨인듯..ㄷㄷ 고막킬러 킹받네ㅡㅡ
내일의 기억,10,재밌습니다 김강우 너무 멋지네요
내일의 기억,6,"그냥 평점에 좀 낚였어요. 김강우는 연기 잘했고요, 글쎄요"
썬더 포스,10,제 기준으론 재밌게 봤습니다~!좋아하는 배우 주연이기도 했고~!심심할때 보면 좋을듯 싶습니다.
스토어웨이,8,내가 마이클이라면 나한테 죽으라고 주사기 던저주는 순간 던진 놈한테 꽂아버린다.어차피 3명만 남으면 되는데 굳이 내가 왜...
미나리,7,미나리는 런닝타임 중 딱 두번 출연했다....!왜 영화 제목이 미나리인가??어디에 떨어트려놔도 살수 있다는걸 보여주는건가??
극장판 귀멸의 칼날: 무한열차편,10,말이 필요없다 내가 느낀 감동을 글자로 적어낼 수 없을만큼 재밌음
타임 머신,7,괜찮음 재밌는 편임. 엠마 사람이 순수한 느낌이 나네. 굉장히 맘에 듦 졸귀. 개봉했을때 보고 몇십 년만에 다시 봤는데 장면장면 놀랍도록 많이 기억나네. 인상에 남았었나봄. 다만 그때나 지금이나 헐리우드 영화는 백인 남자가 다른 어떤 사회에 떨어지더라도 심지어 80만년 후라도 그곳 사람들은 항상 영어 유창하게 잘하고 어떤 인종의 여자라도 꼬시며 그 사회의 어떤 어려움도 나서서 해결하는 영웅으로 그려지는 전형적인 자국중심주의 백인우월주의는 여전함. 이런건 거슬리는 부분이지만 잘 거를수 있다면 영화 자체는 괜찮은 편이고 평점은 8점에서 -1점 해서 7점.
더 록,10,이런영화가또나올려나
승리호,10,"모든 게 완벽함. 모든 주연이 연기를 잘하고, 유해진님 표정연기가 맘에 들었음"
서복,10,"솔직히 박보검 눈빛이랑 공유 목소리가 다한 영화다. 특히 마지막, 보검이가 공유한테 형은 괜찮아요? 부분이랑 서복의 골수 체취 단계에서 박사의 팔을  잡고 공유가 잠시만, 하는 목소리가 압권이다."
"조제, 호랑이 그리고 물고기들",10,띵작입니다 감동적이에요
구원,2,평점 왜이레;;;; 이게 영화냐 마지막엔 설경구 흉내도 내던데 어설픔
미션 파서블,10,액션이 볼만했고 코믹요소도 간간히 있어서 유쾌하게 봤네요
장희빈,10,very very good!
화양연화,7,
타락천사,10,
기사 윌리엄,10,큰 감동은 아니지만 지루할 틈 없는 재미의 연속과 개성 강하고 연기력이 수준급인 배우들의 합작품.. 가히 올해 본 최고.
중경삼림,10,
트루먼 쇼,10,볼때마다 생각하게 되는 명작중의 명작
소울,10,영화 보면서 울었습니다 ㅠㅠ 나만운거아니지?
두 남자,2,"페미들이 이거 보고 이렇게 말 하겠다"" 봤냐 남자는 이런 범죄자다. 여자는 불쌍한 피해자다."""
간츠,4,주인공들 정말 발암이다...
오살,10,오랜만에 보눈 띵작이네요
모탈 컴뱃,10,모탈컴벳 세계에대해서 공부하고 보면 더 재미가 있을듯 합니다.3시간짜리는 되어야할듯.. 너무 후딱끝났네요
서복,2,박보검 공유 존잘이다박보검 키우기 영화인 줄
유다 그리고 블랙 메시아,10,시대에 맞서는 각자의 자세
서복,5,식상하고 지루하고...
노매드랜드,5,"우울하고, 지루하다."
인터스텔라,10,벌써 이영화가 7년이나 지났네요...당시 정말보러가고싶었지만 그때 정말 바삐살았던지라 그냥 담에 찾아보지뭐..하고 넘기며 살다가 문득 시간이지나 생각나서 폰으로 보게됐네요 와 ..이거 영화관에서 봤었으면 전 눈물콧물질질짜면서 봤을거에요 작은화면으로도 충분한 감동과 형용할수없는 기분이 막 들어서 미치겠는데..커피마신것마냥 두근두근거려요.. 제개인적으론 지루한틈 없었고요 긴 시간동안 많은 내용을 넣으려고 한거가 이해된지라 상관없이 잘 봤습니다 그냥 저같이 그때 보지못하고 아직도 볼까말까 고민하시는분들 있으시다면 절 믿고 꼭 보세요 후회안합니다 많은생각들게 해주는 아주아주좋은 영화다운 영화에요
더 페이버릿: 여왕의 여자,10,와  와 !! 와 !!! ! 갈때까지 가는 영화 ... 진짜 나오는 모든이들이 갈 때까지 간다. 와 ...
미나리,3,왜 상받았는지 몰겟음. 걍 심심한 영화. 윤여정씨 딸로 나온분 연기가 더 좋았음
인 어 베러 월드,1,시간 아까운 정도고 다시보라고 하면 안볼거임
그린 북,10,"이제 보다니... 정말 근래 본 영화 중에 거의 완벽한 영화. 영화 보면서 이렇게 크게 웃은 것도 처음이고 뭐 하나 부족한게 없다. 연기, 자연스럽고 재치있는 연출과 스토리... 그중 으뜸은 비고 모텐슨... 아... 정말 매력적이고 멋진 배우~!!!아카데미 남우 주연상을 못 받은게 너무 아쉽다.진짜 마지막까지 유쾌하고 즐겁게 미소 띄우며 볼 수 있는 영화다!"
라야와 마지막 드래곤,10,"최근에 봤던 디즈니 영화중에 가장 잼있는것 같음. 액션도 디즈니애니 스럽지않게 날카롭고 과감해지고. 스토리도 지루할틈없이 계속 상황이 몰이치면서 졸린구간이 없었음, 노래도 없이, 흔해빠진 러브스토리도 없이,  오직 작품성을 높였음,케릭터들도 개성있고, 비주얼도 상당히 좋아졌고, 모험이 한가득, 눈을 즐겁게해줬음 정말 좋았던 작품, 개인적으로 소울보다 상당히 감명깊었음, 블루레이로 출시하면 꼭 구매하고싶은 디즈니작품, 주토피아 이후로 괸찮았던 작품"
서복,2,정말 진심으로 지루해요
미나리,7,혼자 심심할 때 보기 좋은 영화
서복,6,박보검 보려고 보는 영화. 진부하다 느껴졌음
살인의 추억,7,비에 젖은 사건으로 시작해 마른 황토빛 밭에서 끝난다.
스파이더맨: 파 프롬 홈,10,스파이더맨 화이팅 너무재밌어요 다음편빨리나왔으면 ㅠㅠ
미나리,7,"작고 소박한 드라마를 지향한 것으로, 그냥 저예산 독립 영화로서  잘된 작품 정도로 생각.. 이것이 그렇게  크게 평가될 만한 작품인가는 의문.  그리고 그 기독교적 배경이 많이 거슬림. 재미교포 사회에 대해 곱게 볼 수 없는 부분이기도 한데, 오죽했으면 영화 중에도 여기 시골에 온 사람들은 한인교회를 피해서 온 거란 대사가 나오잖아. 정이삭 감독이 앞으로 더 좋은 영화를 만들기를 바라지만 이런 류의 정신세계가 지배하는 배경 하에선 기대할 수 없는 거임."
22년 후의 고백,1,말이되냐 전개가  ...노잼
굿바이 싱글,8,부킹안해. 부킹안해 안해
기생충,9,부르주아에 대한 불편한 편견과 프롤레타리아에 대한 아이러니한 동정심 이 두개가 충돌하는 영화
잭 스나이더의 저스티스 리그,7,"조스웨던 판과는 전혀 다른 영화라 할만하고 훨씬 낫다. 슈퍼맨과 떨거지들이 아닌 진짜 하나의 팀을 본 느낌이다. 다만 외부 사정을 제외하고 작품 자체만 놓고 보더라도, 시리즈의 미래를 기약할 수 있을 정도로 잘 만든 영화인지는 여전히 모르겠다."
워 위드 그랜파,5,"드니로와 페글리가 열심히 노렸했지만, 연출력이 받쳐주지 못했다."
덕혜옹주,10,왜 난 이영화를 이제야봤을까...부끄럽습니다 대한 독립 만세 대한민국
극장판 귀멸의 칼날: 무한열차편,10,꼭 보세요 모든게 완벽합니다 ㅠㅠ완벽한 연출!
미나리,7,10점 만점중에 7점정도? 그냥 잔잔한 스토리...전 할머니가 두분 계셧는데... 어릴적 생각이 많이 나네요.화투도 배우고 집에 늦게 들어오는 날이면 온 동네 저 이름 부르고 다니던 할머니가 생각 납니다. ㅎ
바닷마을 다이어리,8,사랑이라는 재료. 가족이란 음식. 삶과 죽음이라는 소스.
김광석,10,제발 진실이 밝혀지고 심판받는 날이 하루 빨리 오기를 기원합니다.
낙원의 밤,1,"이렇게까지 재미없고 지루하고 빈틈 많고 전달하려는 메시지는 없는 그런 영화도 참 오랜만이네요.엄태구 배우 목소리가 참 매력있다 생각했는데 잠깐 잠깐 극을 살리는 요소일때에만 그런가봐요.극 전반으로 오래 들으니 전달력도 굉장히 떨어지고 무슨 감정인지도 모르겠고..전여빈 배우, 요즘 빈센조에서 오바스런 연기를 자연스럽게 잘해서 좋게 보고 있었는데 여기선 자연스러울 연기를 오바스럽게 해서 보기 불편했어요."
노바디,10,완전 사이다 액션영화네요~통쾌하고 재밌어요!!
미나리,9,심심하다는 이야기듣고 봤는데 저는 참 감동적이고 연출.연기.작품성.영상.음악까지 다 좋았다고 생각합니다. 독립영화에 이 정도 수준이면 대단하네요.전 한예리씨 연기 넘 맘에 들었어요.
